Comp_Name,Rename
10SEZE17SdiHDHA 137,10S17SdiHDHA 137
10SEZE17SdiHDHA 153,10S17SdiHDHA 153
10SEZE17SdiHDPA 155,10S17SdiHDPA 155
10SEZE17SdiHDPA 183,10S17SdiHDPA 183
15epiLXA4 115,15LXA4 115
15epiLXA4 217,15LXA4 217
15epiLXB4 115,15LXB4 115
15epiLXB4 221,15LXB4 221
17RPD1n3dpa 155,PD1n3dpa 155
17RPD1n3dpa 183,PD1n3dpa 183
22OHPD1n3dpa 155,PD1n3dpa 155
7SEZE14SdiHDHA 177,7S14SdiHDHA 177
7SEZE14SdiHDHA 221,7S14SdiHDHA 221
7SEZE14SdiHDPA 205,7S14SdiHDPA 205
7SEZE14SdiHDPA 223,7S14SdiHDPA 223
MaR1n3dpa 205,MaR1n3dpa 223
PD2 231,PD2n3dpa
PD2 261,PD2n3dpa
PD2n3dpa 263,PD2n3dpa
PGE2 175,PGE2 189
RvE4 235,RvE4 115
RvT1n3dpa 193,RvT1 193
RvT1n3dpa 211,RvT1 211
RvT2n3dpa 197,RvT2 197
RvT2n3dpa 255,RvT2 197
RvT3n3dpa 173,RvT3 173
RvT3n3dpa 197,RvT3 197
RvT4n3dpa 193,RvT4 193
RvT4n3dpa 211,RvT4 211
5SEZE12SdiHETE 195,5S12SdiHETE 195
10REEE17SdiHDHA 137,10S17SdiHDHA 137
10REEE17SdiHDHA 153,10S17SdiHDHA 153
10REEE17SdiHDPA 155,10S17SdiHDPA 155
10REEE17SdiHDPA 183,10S17SdiHDPA 183
10SEEE17SdiHDHA 137,10S17SdiHDHA 137
10SEEE17SdiHDHA 153,10S17SdiHDHA 153
10SEEE17SdiHDPA 155,10S17SdiHDPA 155
10SEEE17SdiHDPA 183,10S17SdiHDPA 183
17R-RvD4 101,RvD4 101
17R-RvD4 225,RvD4 225
17RRvD1n3dpa 143,RvD1n3dpa 143
17RRvD1n3dpa 215,RvD1n3dpa 215
5S6REEZdiHETE 115,5S15SdiHETE 115
5S6SEEZdiHETE 115,5S15SdiHETE 115
5SEEE12RdiHETE 195,5S12SdiHETE 195
5SEEE12SdiHETE 195,5S12SdiHETE 195
615oxoLXA4 115,LXA4 115
7REEE14SdiHDHA 177,7S14SdiHDHA 177
7REEE14SdiHDHA 221,7S14SdiHDHA 221
7REEE14SdiHDPA 205,7S14SdiHDPA 205
7REEE14SdiHDPA 223,7S14SdiHDPA 223
7SEEE14SdiHDHA 177,7S14SdiHDHA 177
7SEEE14SdiHDHA221,7S14SdiHDHA 221
7SEEE14SdiHDHA 221,7S14SdiHDHA 221
7SEEE14SdiHDPA 205,7S14SdiHDPA 205
7SEEE14SdiHDPA 223,7S14SdiHDPA 223
dehydrooxoLXA4 115,1314dehydro15oxoLXA5 115
dehydrooxoLXA4 217,1314dehydro-5oxoLXA4 217
oxoRvD5n3dpa 215,RvD5n3dpa 199