Final_Name,Other_Name
X17R.RvD1,X17RRvD1
X17R.RvD3,X17RRvD3
X10S.17S.diHDHA,X10SEZE17SdiHDHA
X10S.17S.diHDHA,X10SEEE17SdiHDHA
X10S.17S.diHDHA,X10REEE17SdiHDHA
X10S.17S.diHDHA,X10S17SdiHDHA
X10S.17S.diHDHA,X10S17S.diHDHA
X10S.17S.diHDHA,X10S.17SdiHDHA
X22.OH.PD1,X22OHPD1
X22.OH.PD1,X22OH.PD1
X22.OH.PD1,X22.OHPD1
X17R.PD1,X17RPD1
01-Mar,Maresin1
X7S.14S.diHDHA,X7S14SdiHDHA
X7S.14S.diHDHA,X7S14S.diHDHA
X7S.14S.diHDHA,X7S.14SdiHDHA
X7S.14S.diHDHA,X7SEZE14SdiHDHA
X7S.14S.diHDHA,X7SEEE14SdiHDHA
X7S.14S.diHDHA,X7REEE14SdiHDHA
02-Mar,Maresin2
X22.OH.MaR1,X22.OHMaR1
X22.OH.MaR1,X22OH.MaR1
X22.OH.MaR1,X22OHMaR1
X22.COOH.MaR1,X22.COOHMaR1
X22.COOH.MaR1,X22COOH.MaR1
X22.COOH.MaR1,X22COOHMaR1
X14.oxo.MaR1,X14.oxoMaR1
X14.oxo.MaR1,X14oxo.MaR1
X14.oxo.MaR1,X14oxoMaR1
X4S.14S.diHDHA,X4S14SdiHDHA
X4S.14S.diHDHA,X4SEZE14SdiHDHA
X4S.14S.diHDHA,X4SEEE14SdiHDHA
X4S.14S.diHDHA,X4S.14SdiHDHA
X4S.14S.diHDHA,X4S14S.diHDHA
RvT1,RvT1n3dpa
RvT2,RvT2n3dpa
RvT3,RvT3n3dpa
RvT4,RvT4n3dpa
RvD1n.3.dpa,RvD1.n.3.dpa
RvD1n.3.dpa,RvD1.n.3.DPA
RvD1n.3.dpa,RvD1.n.3dpa
RvD1n.3.dpa,RvD1.n3dpa
RvD1n.3.dpa,RvD1n.3dpa
RvD1n.3.dpa,RvD1n3dpa
RvD2n.3.dpa,RvD2.n.3.dpa
RvD2n.3.dpa,RvD2.n.3dpa
RvD2n.3.dpa,RvD2.n3dpa
RvD2n.3.dpa,RvD2n.3dpa
RvD2n.3.dpa,RvD2n3dpa
RvD5n.3.dpa,RvD5.n.3.dpa
RvD5n.3.dpa,RvD5.n.3dpa
RvD5n.3.dpa,RvD5.n3dpa
RvD5n.3.dpa,RvD5n.3dpa
RvD5n.3.dpa,RvD5n3dpa
PD1n.3.dpa,PD1.n.3.dpa
PD1n.3.dpa,PD1.n.3dpa
PD1n.3.dpa,PD1.n3dpa
PD1n.3.dpa,PD1n.3dpa
PD1n.3.dpa,PD1n3dpa
PD2n.3.dpa,PD2.n.3.dpa
PD2n.3.dpa,PD2.n.3dpa
PD2n.3.dpa,PD2.n3dpa
PD2n.3.dpa,PD2n.3dpa
PD2n.3.dpa,PD2n3dpa
X10S.17S.diHDPA,X10S17SdiHDPA
X10S.17S.diHDPA,X10SEZE17SdiHDPA
X10S.17S.diHDPA,X10SEEE17SdiHDPA
X10S.17S.diHDPA,X10REEE17SdiHDPA
X10S.17S.diHDPA,X10S.17SdiHDPA
X10S.17S.diHDPA,X10S17.SdiHDPA
X22.OH.PD1n.3.dpa,X22.OH.PD1.n.3.dpa
X22.OH.PD1n.3.dpa,X22.OH.PD1.n.3dpa
X22.OH.PD1n.3.dpa,X22.OH.PD1.n3dpa
X22.OH.PD1n.3.dpa,X22.OH.PD1n.3dpa
X22.OH.PD1n.3.dpa,X22OHPD1n3dpa
MaR1n.3.dpa,MaR1.n.3.dpa
MaR1n.3.dpa,MaR1.n.3dpa
MaR1n.3.dpa,MaR1.n3dpa
MaR1n.3.dpa,MaR1n.3dpa
MaR1n.3.dpa,MaR1n3dpa
MaR2n.3.dpa,MaR2.n.3.dpa
MaR2n.3.dpa,MaR2.n.3dpa
MaR2n.3.dpa,MaR2.n3dpa
MaR2n.3.dpa,MaR2n.3dpa
MaR2n.3.dpa,MaR2n3dpa
X7S.14S.diHDPA,X7S.14SdiHDPA
X7S.14S.diHDPA,X7S14S.diHDPA
X7S.14S.diHDPA,X7S14SdiHDPA
X7S.14S.diHDPA,X7SEZE14SdiHDPA
X7S.14S.diHDPA,X7SEEE14SdiHDPA
X7S.14S.diHDPA,X7REE14SdiHDPA
X5S.12S.diHETE,X5SEZE12SdiHETE
X5S.12S.diHETE,X5SEEE12SdiHETE
X5S.12S.diHETE,X5S.12SdiHETE
X5S.12S.diHETE,X5S12S.diHETE
X13.14.dehydro.15.oxo.LXA5,X1314dehydro15oxoLXA5
X15.oxo.LXA4,X15oxoLXA4
X15.oxo.LXA4,X15oxo.LXA4
X15.oxo.LXA4,X15.oxoLXA4
X15.LXA4,X15epiLXA4
X15.LXB4,X15epiLXB4
X6.trans.LTB4,X6.transLTB4
X6.trans.LTB4,X6trans.LTB4
X6.trans.LTB4,X6transLTB4
X6.trans.12.epi.LTB4,X6trans12epiLTB4
X6.trans.12.epi.LTB4,X6trans.12epi.LTB4
X20.OH.LTB4,X20OHLTB4
X20.OH.LTB4,X20.OHLTB4
X20.OH.LTB4,X20OH.LTB4
X20.COOH.LTB4,X20COOHLTB4
X20.COOH.LTB4,X20.COOHLTB4
X20.COOH.LTB4,X20COOH.LTB4
X17.HDPA,X17HDPA
X14.HDPA,X14HDPA
X13.HDPA,X13HDPA
X7.HDPA,X7.HDPA
X17.HDHA,X17HDHA
X14.HDHA,X14HDHA
X13.HDHA,X13HDHA
X7.HDHA,X7HDHA
X4.HDHA,X4HDHA
X18.HEPE,X18HEPE
X15.HEPE,X15HEPE
X12.HEPE,X12HEPE
X11.HEPE,X11HEPE
X5.HEPE,X5HEPE
X20.HETE,X20HETE
X15.HETE,X15HETE
X12.HETE,X12HETE
X11.HETE,X11HETE
X5.HETE,X5HETE